ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1201,Ugly Number III,25.9%,Medium,0.2586674025861649, https://leetcode.com/problems/ugly-number-iii
1224,Maximum Equal Frequency,33.5%,Hard,0, https://leetcode.com/problems/maximum-equal-frequency
1521,Find a Value of a Mysterious Function Closest to Target,43.2%,Hard,0, https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target
